k: 5, loop: 500
Number of dics: 10
Number of test data: 100
Number of learning data: 890
~~~~~~~~~~~~~~~~~~~~正解率~~~~~~~~~~~~~~~~~~
| ~回目 | PRDC |  PAIR_MULTIPLE | RECOMPRESSION |
| 1回目 | 0.59 | 0.63 | 0.6 | 
| 2回目 | 0.64 | 0.6 | 0.55 | 
| 3回目 | 0.55 | 0.56 | 0.62 | 
| 4回目 | 0.63 | 0.6 | 0.61 | 
| 5回目 | 0.72 | 0.67 | 0.72 | 
| 6回目 | 0.73 | 0.71 | 0.73 | 
| 7回目 | 0.56 | 0.53 | 0.53 | 
| 8回目 | 0.64 | 0.59 | 0.64 | 
| 9回目 | 0.68 | 0.58 | 0.62 | 
| 10回目 | 0.6 | 0.63 | 0.6 | 
| 11回目 | 0.54 | 0.62 | 0.53 | 
| 12回目 | 0.6 | 0.62 | 0.61 | 
| 13回目 | 0.58 | 0.62 | 0.63 | 
| 14回目 | 0.68 | 0.67 | 0.62 | 
| 15回目 | 0.61 | 0.67 | 0.68 | 
| 16回目 | 0.66 | 0.66 | 0.68 | 
| 17回目 | 0.65 | 0.66 | 0.58 | 
| 18回目 | 0.71 | 0.76 | 0.7 | 
| 19回目 | 0.64 | 0.64 | 0.66 | 
| 20回目 | 0.68 | 0.7 | 0.64 | 
| 21回目 | 0.56 | 0.65 | 0.69 | 
| 22回目 | 0.63 | 0.57 | 0.6 | 
| 23回目 | 0.58 | 0.6 | 0.55 | 
| 24回目 | 0.53 | 0.68 | 0.58 | 
| 25回目 | 0.6 | 0.63 | 0.62 | 
| 26回目 | 0.6 | 0.61 | 0.62 | 
| 27回目 | 0.71 | 0.67 | 0.74 | 
| 28回目 | 0.65 | 0.65 | 0.56 | 
| 29回目 | 0.72 | 0.69 | 0.68 | 
| 30回目 | 0.69 | 0.68 | 0.63 | 
| 31回目 | 0.69 | 0.56 | 0.58 | 
| 32回目 | 0.64 | 0.59 | 0.61 | 
| 33回目 | 0.64 | 0.6 | 0.64 | 
| 34回目 | 0.61 | 0.63 | 0.63 | 
| 35回目 | 0.7 | 0.71 | 0.69 | 
| 36回目 | 0.63 | 0.69 | 0.63 | 
| 37回目 | 0.6 | 0.56 | 0.51 | 
| 38回目 | 0.66 | 0.58 | 0.57 | 
| 39回目 | 0.71 | 0.71 | 0.64 | 
| 40回目 | 0.65 | 0.77 | 0.65 | 
| 41回目 | 0.64 | 0.63 | 0.6 | 
| 42回目 | 0.64 | 0.63 | 0.64 | 
| 43回目 | 0.66 | 0.72 | 0.67 | 
