Dataset: /home/uchinosub/git/MyResearches.ImageToText/output/image-orig/
k: 5, loop: 300
Number of classes: 10
Number of dics: 10
Number of test data: 100
Number of learning data: 890
~~~~~~~~~~~~~~~~~~~~正解率~~~~~~~~~~~~~~~~~~
| ~回目 | PRDC |  PAIR_MULTIPLE | PAIR_MULTIPLE_LOG | RECOMPRESSION |
| 1回目 | 0.71 | 0.81 | 0.75 | 0.71 | 
| 2回目 | 0.62 | 0.66 | 0.69 | 0.66 | 
| 3回目 | 0.61 | 0.69 | 0.74 | 0.65 | 
| 4回目 | 0.65 | 0.67 | 0.68 | 0.71 | 
| 5回目 | 0.64 | 0.66 | 0.7 | 0.61 | 
| 6回目 | 0.64 | 0.73 | 0.69 | 0.75 | 
| 7回目 | 0.57 | 0.56 | 0.62 | 0.58 | 
| 8回目 | 0.71 | 0.69 | 0.69 | 0.68 | 
| 9回目 | 0.67 | 0.76 | 0.74 | 0.74 | 
| 10回目 | 0.6 | 0.67 | 0.69 | 0.68 | 
| 11回目 | 0.61 | 0.64 | 0.63 | 0.57 | 
| 12回目 | 0.59 | 0.65 | 0.67 | 0.67 | 
| 13回目 | 0.61 | 0.68 | 0.72 | 0.65 | 
| 14回目 | 0.55 | 0.71 | 0.7 | 0.64 | 
| 15回目 | 0.71 | 0.8 | 0.72 | 0.69 | 
| 16回目 | 0.65 | 0.69 | 0.71 | 0.72 | 
| 17回目 | 0.65 | 0.71 | 0.69 | 0.72 | 
| 18回目 | 0.63 | 0.7 | 0.67 | 0.71 | 
| 19回目 | 0.66 | 0.72 | 0.7 | 0.66 | 
| 20回目 | 0.62 | 0.67 | 0.7 | 0.68 | 
| 21回目 | 0.67 | 0.7 | 0.75 | 0.69 | 
| 22回目 | 0.61 | 0.71 | 0.67 | 0.58 | 
| 23回目 | 0.59 | 0.66 | 0.68 | 0.65 | 
| 24回目 | 0.6 | 0.72 | 0.7 | 0.62 | 
| 25回目 | 0.61 | 0.71 | 0.71 | 0.77 | 
| 26回目 | 0.6 | 0.62 | 0.64 | 0.66 | 
| 27回目 | 0.71 | 0.74 | 0.7 | 0.8 | 
| 28回目 | 0.55 | 0.61 | 0.6 | 0.61 | 
| 29回目 | 0.63 | 0.69 | 0.7 | 0.69 | 
| 30回目 | 0.64 | 0.68 | 0.7 | 0.62 | 
| 31回目 | 0.71 | 0.75 | 0.74 | 0.77 | 
| 32回目 | 0.63 | 0.66 | 0.65 | 0.64 | 
| 33回目 | 0.65 | 0.78 | 0.73 | 0.74 | 
| 34回目 | 0.65 | 0.69 | 0.69 | 0.73 | 
| 35回目 | 0.69 | 0.72 | 0.74 | 0.69 | 
| 36回目 | 0.69 | 0.77 | 0.76 | 0.69 | 
| 37回目 | 0.63 | 0.68 | 0.63 | 0.64 | 
| 38回目 | 0.62 | 0.73 | 0.74 | 0.66 | 
| 39回目 | 0.59 | 0.77 | 0.69 | 0.66 | 
| 40回目 | 0.58 | 0.67 | 0.68 | 0.7 | 
| 41回目 | 0.65 | 0.68 | 0.64 | 0.65 | 
| 42回目 | 0.57 | 0.61 | 0.57 | 0.55 | 
| 43回目 | 0.63 | 0.67 | 0.67 | 0.67 | 
| 44回目 | 0.62 | 0.72 | 0.68 | 0.67 | 
| 45回目 | 0.61 | 0.73 | 0.68 | 0.65 | 
| 46回目 | 0.59 | 0.59 | 0.66 | 0.65 | 
| 47回目 | 0.61 | 0.72 | 0.68 | 0.69 | 
| 48回目 | 0.62 | 0.68 | 0.69 | 0.63 | 
| 49回目 | 0.64 | 0.73 | 0.7 | 0.77 | 
| 50回目 | 0.61 | 0.63 | 0.67 | 0.66 | 
| 51回目 | 0.68 | 0.73 | 0.71 | 0.68 | 
| 52回目 | 0.7 | 0.71 | 0.73 | 0.69 | 
| 53回目 | 0.63 | 0.73 | 0.74 | 0.73 | 
| 54回目 | 0.71 | 0.76 | 0.71 | 0.7 | 
| 55回目 | 0.57 | 0.66 | 0.62 | 0.61 | 
| 56回目 | 0.52 | 0.66 | 0.6 | 0.59 | 
| 57回目 | 0.66 | 0.69 | 0.63 | 0.65 | 
